tier,start,end,duration,comment,relavence,classification,subject,
Caregiver linguistic,222.988,223.308,0.319999999999993,galletas,0,normal,157,
Caregiver linguistic,230.768,231.528,0.759999999999991,huevos,0,normal,157,
Caregiver linguistic,235.928,236.494,0.566000000000003,platito,0,normal,157,
Caregiver linguistic,238.738,239.143,0.405000000000001,tenedor,1,normal,157,
Child linguistic,240.078,241.278,1.19999999999999,tenedor,0,normal,157,
Caregiver linguistic,241.024,241.944,0.919999999999988,tenedor,1,normal,157,
Caregiver linguistic,242.237,242.691,0.454000000000008,tenedor,1,normal,157,
Caregiver linguistic,243.837,244.477,0.640000000000015,cuchara ,1,normal,157,
Child linguistic,245.19,246.197,1.00700000000001,cuchara,0,normal,157,
Caregiver linguistic,246.153,247.02,0.867000000000018,cuchara,1,normal,157,
Caregiver linguistic,247.419,247.992,0.572999999999979,cuchara ,1,normal,157,
Caregiver linguistic,249.816,250.856,1.03999999999999,cuchara ,1,normal,157,
Caregiver linguistic,253.276,254.049,0.772999999999996,brocoli,0,normal,157,
Caregiver linguistic,254.228,254.995,0.766999999999996,aguacate,0,normal,157,
Caregiver linguistic,258.091,258.891,0.800000000000011,cebolla,0,normal,157,
Caregiver linguistic,258.997,259.711,0.713999999999999,cebolla,0,normal,157,
Caregiver linguistic,261.019,261.886,0.867000000000018,pedacito de cebolla,0,normal,157,
Caregiver linguistic,263.684,264.424,0.739999999999952,brocoli,0,normal,157,
Caregiver linguistic,283.654,284.214,0.560000000000002,leche,0,normal,157,
Caregiver linguistic,287.754,288.314,0.560000000000002,jugo,0,normal,157,
Caregiver linguistic,290.82,291.213,0.393000000000029,galleta,0,normal,157,
Caregiver linguistic,292.013,292.613,0.600000000000023,aguacate ,1,normal,157,
Caregiver linguistic,296.952,297.553,0.600999999999999,plato,0,normal,157,
Caregiver linguistic,301.303,302.463,1.16000000000003,cebolla,0,normal,157,
Caregiver linguistic,303.743,304.783,1.04000000000002,cebolla,0,normal,157,
Caregiver linguistic,307.443,307.942,0.499000000000024,cebolla,0,normal,157,
Caregiver linguistic,308.013,308.653,0.640000000000043,jitomate,0,normal,157,
Caregiver linguistic,310.553,311.333,0.78000000000003,jitomate,0,normal,157,
Caregiver linguistic,313.563,314.103,0.54000000000002,jitomate,0,normal,157,
Caregiver linguistic,315.513,316.333,0.82000000000005,jitomate,0,normal,157,
Caregiver linguistic,320.723,321.236,0.512999999999977,brocoli,0,normal,157,
Caregiver linguistic,321.432,321.913,0.480999999999995,brocoli,0,normal,157,
Caregiver linguistic,324.083,324.823,0.739999999999952,cebolla,0,normal,157,
Caregiver linguistic,338.513,338.963,0.450000000000046,sandwich ,1,normal,157,
Caregiver linguistic,339.277,340.231,0.954000000000008,sandwich de jamon ,1,normal,157,
Caregiver linguistic,348.514,348.974,0.45999999999998,pan ,1,normal,157,
Child linguistic,350.764,351.564,0.800000000000011,pan,0,normal,157,
Caregiver linguistic,351.444,352.164,0.71999999999997,pan ,1,normal,157,
Caregiver linguistic,352.544,352.824,0.28000000000003,pan ,1,normal,157,
Caregiver linguistic,353.35,353.764,0.413999999999987,sandwich ,1,normal,157,
Caregiver linguistic,354.004,354.51,0.505999999999972,cebolla,0,normal,157,
Caregiver linguistic,355.284,356.564,1.28000000000003,cebolla,0,normal,157,
Caregiver linguistic,356.824,358.03,1.20599999999996,aguacate,0,normal,157,
Caregiver linguistic,14.345,15.82,1.475,tacitas,0,normal,431,
Caregiver linguistic,16.732,17.273,0.541,leche ,1,normal,431,
Caregiver linguistic,21.14,21.71,0.57,leche ,1,normal,431,
Caregiver linguistic,22.975,23.505,0.529999999999998,leche,1,normal,431,
Caregiver linguistic,29.495,29.72,0.224999999999998,leche ,1,normal,431,
Caregiver linguistic,37.137,37.617,0.479999999999997,elote ,1,normal,431,
Caregiver linguistic,38.545,39.127,0.582000000000001,elote ,1,normal,431,
Caregiver linguistic,42.315,42.9,0.585000000000001,cazuelas ,1,normal,431,
Caregiver linguistic,45.345,46.26,0.914999999999999,huevitos,0,normal,431,
Caregiver linguistic,50.697,51.387,0.689999999999998,platano ,1,normal,431,
Caregiver linguistic,57.262,57.837,0.575000000000003,platano ,1,normal,431,
Caregiver linguistic,59.099,59.635,0.536000000000001,platano ,1,normal,431,
Caregiver linguistic,62.305,62.99,0.685000000000002,platito,0,normal,431,
Caregiver linguistic,63.654,64.092,0.437999999999995,platano,0,normal,431,
Caregiver linguistic,67.314,67.99,0.676000000000002,ejotes ,1,normal,431,
Caregiver linguistic,69.627,70.177,0.550000000000011,plato ,1,normal,431,
